returned;Order ID;row_id;order_id;order_date;ship_date;ship_mode;customer_id;customer_name;segment;country;city;state;postal_code;region;product_id;category;subcategory;product_name;sales;quantity;discount;profit;person;region_1
Yes    ;CA-2016-102652;6019;CA-2016-102652;2016/04/06 00:00:00.000;2016/04/12 00:00:00.000;Standard Class;AY-10555;Andy Yotov            ;Corporate  ;United States;Los Angeles      ;California          ;90049;West   ;OFF-PA-10001977;Office Supplies;Paper      ;Xerox 194                                                                                                                      ;55,48;1;0,0;26.6304;Anna Andreadi    ;West   
Yes    ;CA-2016-102652;6016;CA-2016-102652;2016/04/06 00:00:00.000;2016/04/12 00:00:00.000;Standard Class;AY-10555;Andy Yotov            ;Corporate  ;United States;Los Angeles      ;California          ;90049;West   ;FUR-FU-10000747;Furniture      ;Furnishings;Tenex B1-RE Series Chair Mats for Low Pile Carpets                                                                             ;91,96;2;0,0;15.6332;Anna Andreadi    ;West   
Yes    ;CA-2016-102652;6017;CA-2016-102652;2016/04/06 00:00:00.000;2016/04/12 00:00:00.000;Standard Class;AY-10555;Andy Yotov            ;Corporate  ;United States;Los Angeles      ;California          ;90049;West   ;FUR-FU-10001918;Furniture      ;Furnishings;C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings                                                               ;33,11;7;0,0;12.9129;Anna Andreadi    ;West   
Yes    ;CA-2016-102652;6018;CA-2016-102652;2016/04/06 00:00:00.000;2016/04/12 00:00:00.000;Standard Class;AY-10555;Andy Yotov            ;Corporate  ;United States;Los Angeles      ;California          ;90049;West   ;OFF-PA-10003309;Office Supplies;Paper      ;Xerox 211                                                                                                                      ;19,44;3;0,0;9.3312;Anna Andreadi    ;West   
Yes    ;CA-2016-102652;6019;CA-2016-102652;2016/04/06 00:00:00.000;2016/04/12 00:00:00.000;Standard Class;AY-10555;Andy Yotov            ;Corporate  ;United States;Los Angeles      ;California          ;90049;West   ;OFF-PA-10001977;Office Supplies;Paper      ;Xerox 194                                                                                                                      ;55,48;1;0,0;26.6304;Anna Andreadi    ;West   
Yes    ;CA-2016-102652;6016;CA-2016-102652;2016/04/06 00:00:00.000;2016/04/12 00:00:00.000;Standard Class;AY-10555;Andy Yotov            ;Corporate  ;United States;Los Angeles      ;California          ;90049;West   ;FUR-FU-10000747;Furniture      ;Furnishings;Tenex B1-RE Series Chair Mats for Low Pile Carpets                                                                             ;91,96;2;0,0;15.6332;Anna Andreadi    ;West   
Yes    ;CA-2016-102652;6017;CA-2016-102652;2016/04/06 00:00:00.000;2016/04/12 00:00:00.000;Standard Class;AY-10555;Andy Yotov            ;Corporate  ;United States;Los Angeles      ;California          ;90049;West   ;FUR-FU-10001918;Furniture      ;Furnishings;C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings                                                               ;33,11;7;0,0;12.9129;Anna Andreadi    ;West   
Yes    ;CA-2016-103373;1830;CA-2016-103373;2016/05/18 00:00:00.000;2016/05/24 00:00:00.000;Standard Class;BS-11755;Bruce Stewart         ;Consumer   ;United States;Cleveland        ;Ohio                ;44105;East   ;TEC-PH-10002885;Technology     ;Phones     ;Apple iPhone 5                                                                                                                 ;779,796;2;0,4;-168.9558;Chuck Magee      ;East   
Yes    ;CA-2016-103744;6530;CA-2016-103744;2016/02/23 00:00:00.000;2016/02/27 00:00:00.000;Standard Class;MG-17875;Michael Grace         ;Home Office;United States;El Paso          ;Texas               ;79907;Central;OFF-LA-10004425;Office Supplies;Labels     ;Staple-on labels                                                                                                               ;6,936;3;0,2;2.3409;Kelly Williams   ;Central
Yes    ;CA-2016-103744;6531;CA-2016-103744;2016/02/23 00:00:00.000;2016/02/27 00:00:00.000;Standard Class;MG-17875;Michael Grace         ;Home Office;United States;El Paso          ;Texas               ;79907;Central;OFF-BI-10000320;Office Supplies;Binders    ;GBC Plastic Binding Combs                                                                                                      ;4,428;3;0,8;-6.8634;Kelly Williams   ;Central
Yes    ;CA-2016-103744;6530;CA-2016-103744;2016/02/23 00:00:00.000;2016/02/27 00:00:00.000;Standard Class;MG-17875;Michael Grace         ;Home Office;United States;El Paso          ;Texas               ;79907;Central;OFF-LA-10004425;Office Supplies;Labels     ;Staple-on labels                                                                                                               ;6,936;3;0,2;2.3409;Kelly Williams   ;Central
Yes    ;CA-2016-103744;6531;CA-2016-103744;2016/02/23 00:00:00.000;2016/02/27 00:00:00.000;Standard Class;MG-17875;Michael Grace         ;Home Office;United States;El Paso          ;Texas               ;79907;Central;OFF-BI-10000320;Office Supplies;Binders    ;GBC Plastic Binding Combs                                                                                                      ;4,428;3;0,8;-6.8634;Kelly Williams   ;Central
Yes    ;CA-2016-103940;3925;CA-2016-103940;2016/09/17 00:00:00.000;2016/09/21 00:00:00.000;Standard Class;BN-11515;Bradley Nguyen        ;Consumer   ;United States;Seattle          ;Washington          ;98103;West   ;OFF-ST-10004963;Office Supplies;Storage    ;Eldon Gobal File Keepers                                                                                                       ;30,28;2;0,0;1.2112;Anna Andreadi    ;West   
Yes    ;CA-2016-103940;3926;CA-2016-103940;2016/09/17 00:00:00.000;2016/09/21 00:00:00.000;Standard Class;BN-11515;Bradley Nguyen        ;Consumer   ;United States;Seattle          ;Washington          ;98103;West   ;OFF-ST-10000943;Office Supplies;Storage    ;Eldon ProFile File 'N Store Portable File Tub Letter/Legal Size Black                                                          ;57,93;3;0,0;16.2204;Anna Andreadi    ;West   
Yes    ;CA-2016-103940;3927;CA-2016-103940;2016/09/17 00:00:00.000;2016/09/21 00:00:00.000;Standard Class;BN-11515;Bradley Nguyen        ;Consumer   ;United States;Seattle          ;Washington          ;98103;West   ;FUR-FU-10004671;Furniture      ;Furnishings;"Executive Impressions 12"" Wall Clock                                                                                           ";35,34;2;0,0;13.4292;Anna Andreadi    ;West   
Yes    ;CA-2016-103940;3928;CA-2016-103940;2016/09/17 00:00:00.000;2016/09/21 00:00:00.000;Standard Class;BN-11515;Bradley Nguyen        ;Consumer   ;United States;Seattle          ;Washington          ;98103;West   ;OFF-BI-10002735;Office Supplies;Binders    ;GBC Prestige Therm-A-Bind Covers                                                                                               ;137,24;5;0,2;46.3185;Anna Andreadi    ;West   
Yes    ;CA-2016-103940;3925;CA-2016-103940;2016/09/17 00:00:00.000;2016/09/21 00:00:00.000;Standard Class;BN-11515;Bradley Nguyen        ;Consumer   ;United States;Seattle          ;Washington          ;98103;West   ;OFF-ST-10004963;Office Supplies;Storage    ;Eldon Gobal File Keepers                                                                                                       ;30,28;2;0,0;1.2112;Anna Andreadi    ;West   
Yes    ;CA-2016-103940;3926;CA-2016-103940;2016/09/17 00:00:00.000;2016/09/21 00:00:00.000;Standard Class;BN-11515;Bradley Nguyen        ;Consumer   ;United States;Seattle          ;Washington          ;98103;West   ;OFF-ST-10000943;Office Supplies;Storage    ;Eldon ProFile File 'N Store Portable File Tub Letter/Legal Size Black                                                          ;57,93;3;0,0;16.2204;Anna Andreadi    ;West   
Yes    ;CA-2016-103940;3927;CA-2016-103940;2016/09/17 00:00:00.000;2016/09/21 00:00:00.000;Standard Class;BN-11515;Bradley Nguyen        ;Consumer   ;United States;Seattle          ;Washington          ;98103;West   ;FUR-FU-10004671;Furniture      ;Furnishings;"Executive Impressions 12"" Wall Clock                                                                                           ";35,34;2;0,0;13.4292;Anna Andreadi    ;West   
Yes    ;CA-2016-103940;3928;CA-2016-103940;2016/09/17 00:00:00.000;2016/09/21 00:00:00.000;Standard Class;BN-11515;Bradley Nguyen        ;Consumer   ;United States;Seattle          ;Washington          ;98103;West   ;OFF-BI-10002735;Office Supplies;Binders    ;GBC Prestige Therm-A-Bind Covers                                                                                               ;137,24;5;0,2;46.3185;Anna Andreadi    ;West   
Yes    ;CA-2016-103940;3925;CA-2016-103940;2016/09/17 00:00:00.000;2016/09/21 00:00:00.000;Standard Class;BN-11515;Bradley Nguyen        ;Consumer   ;United States;Seattle          ;Washington          ;98103;West   ;OFF-ST-10004963;Office Supplies;Storage    ;Eldon Gobal File Keepers                                                                                                       ;30,28;2;0,0;1.2112;Anna Andreadi    ;West   
Yes    ;CA-2016-103940;3926;CA-2016-103940;2016/09/17 00:00:00.000;2016/09/21 00:00:00.000;Standard Class;BN-11515;Bradley Nguyen        ;Consumer   ;United States;Seattle          ;Washington          ;98103;West   ;OFF-ST-10000943;Office Supplies;Storage    ;Eldon ProFile File 'N Store Portable File Tub Letter/Legal Size Black                                                          ;57,93;3;0,0;16.2204;Anna Andreadi    ;West   
Yes    ;CA-2016-103940;3927;CA-2016-103940;2016/09/17 00:00:00.000;2016/09/21 00:00:00.000;Standard Class;BN-11515;Bradley Nguyen        ;Consumer   ;United States;Seattle          ;Washington          ;98103;West   ;FUR-FU-10004671;Furniture      ;Furnishings;"Executive Impressions 12"" Wall Clock                                                                                           ";35,34;2;0,0;13.4292;Anna Andreadi    ;West   
Yes    ;CA-2016-103940;3928;CA-2016-103940;2016/09/17 00:00:00.000;2016/09/21 00:00:00.000;Standard Class;BN-11515;Bradley Nguyen        ;Consumer   ;United States;Seattle          ;Washington          ;98103;West   ;OFF-BI-10002735;Office Supplies;Binders    ;GBC Prestige Therm-A-Bind Covers                                                                                               ;137,24;5;0,2;46.3185;Anna Andreadi    ;West   
Yes    ;CA-2016-103940;3925;CA-2016-103940;2016/09/17 00:00:00.000;2016/09/21 00:00:00.000;Standard Class;BN-11515;Bradley Nguyen        ;Consumer   ;United States;Seattle          ;Washington          ;98103;West   ;OFF-ST-10004963;Office Supplies;Storage    ;Eldon Gobal File Keepers                                                                                                       ;30,28;2;0,0;1.2112;Anna Andreadi    ;West   
Yes    ;CA-2016-103940;3926;CA-2016-103940;2016/09/17 00:00:00.000;2016/09/21 00:00:00.000;Standard Class;BN-11515;Bradley Nguyen        ;Consumer   ;United States;Seattle          ;Washington          ;98103;West   ;OFF-ST-10000943;Office Supplies;Storage    ;Eldon ProFile File 'N Store Portable File Tub Letter/Legal Size Black                                                          ;57,93;3;0,0;16.2204;Anna Andreadi    ;West   
Yes    ;CA-2016-103940;3927;CA-2016-103940;2016/09/17 00:00:00.000;2016/09/21 00:00:00.000;Standard Class;BN-11515;Bradley Nguyen        ;Consumer   ;United States;Seattle          ;Washington          ;98103;West   ;FUR-FU-10004671;Furniture      ;Furnishings;"Executive Impressions 12"" Wall Clock                                                                                           ";35,34;2;0,0;13.4292;Anna Andreadi    ;West   
Yes    ;CA-2016-103940;3928;CA-2016-103940;2016/09/17 00:00:00.000;2016/09/21 00:00:00.000;Standard Class;BN-11515;Bradley Nguyen        ;Consumer   ;United States;Seattle          ;Washington          ;98103;West   ;OFF-BI-10002735;Office Supplies;Binders    ;GBC Prestige Therm-A-Bind Covers                                                                                               ;137,24;5;0,2;46.3185;Anna Andreadi    ;West   
Yes    ;CA-2016-104829;5396;CA-2016-104829;2016/11/18 00:00:00.000;2016/11/21 00:00:00.000;Second Class  ;JG-15805;John Grady            ;Corporate  ;United States;Provo            ;Utah                ;84604;West   ;OFF-PA-10003016;Office Supplies;Paper      ;"Adams ""While You Were Out"" Message Pads                                                                                        ";21,98;7;0,0;9.891;Anna Andreadi    ;West   
Yes    ;CA-2016-105270;5779;CA-2016-105270;2016/11/11 00:00:00.000;2016/11/18 00:00:00.000;Standard Class;AP-10915;Arthur Prichep        ;Consumer   ;United States;Los Angeles      ;California          ;90008;West   ;OFF-AR-10003156;Office Supplies;Art        ;50 Colored Long Pencils                                                                                                        ;30,48;3;0,0;7.9248;Anna Andreadi    ;West   
Yes    ;CA-2016-105270;5780;CA-2016-105270;2016/11/11 00:00:00.000;2016/11/18 00:00:00.000;Standard Class;AP-10915;Arthur Prichep        ;Consumer   ;United States;Los Angeles      ;California          ;90008;West   ;FUR-CH-10000988;Furniture      ;Chairs     ;Hon Olson Stacker Stools                                                                                                       ;112,648;1;0,2;11.2648;Anna Andreadi    ;West   
Yes    ;CA-2016-105270;5779;CA-2016-105270;2016/11/11 00:00:00.000;2016/11/18 00:00:00.000;Standard Class;AP-10915;Arthur Prichep        ;Consumer   ;United States;Los Angeles      ;California          ;90008;West   ;OFF-AR-10003156;Office Supplies;Art        ;50 Colored Long Pencils                                                                                                        ;30,48;3;0,0;7.9248;Anna Andreadi    ;West   
Yes    ;CA-2016-105270;5780;CA-2016-105270;2016/11/11 00:00:00.000;2016/11/18 00:00:00.000;Standard Class;AP-10915;Arthur Prichep        ;Consumer   ;United States;Los Angeles      ;California          ;90008;West   ;FUR-CH-10000988;Furniture      ;Chairs     ;Hon Olson Stacker Stools                                                                                                       ;112,648;1;0,2;11.2648;Anna Andreadi    ;West   
Yes    ;CA-2016-108609;6640;CA-2016-108609;2016/10/31 00:00:00.000;2016/11/02 00:00:00.000;Second Class  ;AJ-10780;Anthony Jacobs        ;Corporate  ;United States;Lorain           ;Ohio                ;44052;East   ;FUR-TA-10003954;Furniture      ;Tables     ;Hon 94000 Series Round Tables                                                                                                  ;1421,664;8;0,4;-734.5264;Chuck Magee      ;East   
Yes    ;CA-2016-108861;8439;CA-2016-108861;2016/05/28 00:00:00.000;2016/06/01 00:00:00.000;Standard Class;MM-17260;Magdelene Morse       ;Consumer   ;United States;Seattle          ;Washington          ;98105;West   ;OFF-BI-10003876;Office Supplies;Binders    ;"Green Canvas Binder for 8-1/2"" x 14"" Sheets                                                                                    ";136,96;4;0,2;51.36;Anna Andreadi    ;West   
Yes    ;CA-2016-109918;8367;CA-2016-109918;2016/09/07 00:00:00.000;2016/09/12 00:00:00.000;Second Class  ;LR-17035;Lisa Ryan             ;Corporate  ;United States;Santa Clara      ;California          ;95051;West   ;OFF-SU-10004290;Office Supplies;Supplies   ;"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut                                              ";27,36;4;0,0;7.3872;Anna Andreadi    ;West   
Yes    ;CA-2016-109918;8368;CA-2016-109918;2016/09/07 00:00:00.000;2016/09/12 00:00:00.000;Second Class  ;LR-17035;Lisa Ryan             ;Corporate  ;United States;Santa Clara      ;California          ;95051;West   ;OFF-PA-10000174;Office Supplies;Paper      ;"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book                                                       ";20,56;2;0,0;9.6632;Anna Andreadi    ;West   
Yes    ;CA-2016-109918;8369;CA-2016-109918;2016/09/07 00:00:00.000;2016/09/12 00:00:00.000;Second Class  ;LR-17035;Lisa Ryan             ;Corporate  ;United States;Santa Clara      ;California          ;95051;West   ;OFF-BI-10004308;Office Supplies;Binders    ;Avery Legal 4-Ring Binder                                                                                                      ;83,92;5;0,2;31.47;Anna Andreadi    ;West   
Yes    ;CA-2016-109918;8367;CA-2016-109918;2016/09/07 00:00:00.000;2016/09/12 00:00:00.000;Second Class  ;LR-17035;Lisa Ryan             ;Corporate  ;United States;Santa Clara      ;California          ;95051;West   ;OFF-SU-10004290;Office Supplies;Supplies   ;"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut                                              ";27,36;4;0,0;7.3872;Anna Andreadi    ;West   
Yes    ;CA-2016-109918;8368;CA-2016-109918;2016/09/07 00:00:00.000;2016/09/12 00:00:00.000;Second Class  ;LR-17035;Lisa Ryan             ;Corporate  ;United States;Santa Clara      ;California          ;95051;West   ;OFF-PA-10000174;Office Supplies;Paper      ;"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book                                                       ";20,56;2;0,0;9.6632;Anna Andreadi    ;West   
Yes    ;CA-2016-109918;8369;CA-2016-109918;2016/09/07 00:00:00.000;2016/09/12 00:00:00.000;Second Class  ;LR-17035;Lisa Ryan             ;Corporate  ;United States;Santa Clara      ;California          ;95051;West   ;OFF-BI-10004308;Office Supplies;Binders    ;Avery Legal 4-Ring Binder                                                                                                      ;83,92;5;0,2;31.47;Anna Andreadi    ;West   
Yes    ;CA-2016-109918;8367;CA-2016-109918;2016/09/07 00:00:00.000;2016/09/12 00:00:00.000;Second Class  ;LR-17035;Lisa Ryan             ;Corporate  ;United States;Santa Clara      ;California          ;95051;West   ;OFF-SU-10004290;Office Supplies;Supplies   ;"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut                                              ";27,36;4;0,0;7.3872;Anna Andreadi    ;West   
Yes    ;CA-2016-109918;8368;CA-2016-109918;2016/09/07 00:00:00.000;2016/09/12 00:00:00.000;Second Class  ;LR-17035;Lisa Ryan             ;Corporate  ;United States;Santa Clara      ;California          ;95051;West   ;OFF-PA-10000174;Office Supplies;Paper      ;"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book                                                       ";20,56;2;0,0;9.6632;Anna Andreadi    ;West   
Yes    ;CA-2016-109918;8369;CA-2016-109918;2016/09/07 00:00:00.000;2016/09/12 00:00:00.000;Second Class  ;LR-17035;Lisa Ryan             ;Corporate  ;United States;Santa Clara      ;California          ;95051;West   ;OFF-BI-10004308;Office Supplies;Binders    ;Avery Legal 4-Ring Binder                                                                                                      ;83,92;5;0,2;31.47;Anna Andreadi    ;West   
Yes    ;CA-2016-110786;4038;CA-2016-110786;2016/12/29 00:00:00.000;2017/01/02 00:00:00.000;Standard Class;AJ-10795;Anthony Johnson       ;Corporate  ;United States;San Francisco    ;California          ;94110;West   ;FUR-FU-10000550;Furniture      ;Furnishings;Stacking Trays by OIC                                                                                                          ;24,9;5;0,0;8.217;Anna Andreadi    ;West   
Yes    ;CA-2016-110786;4039;CA-2016-110786;2016/12/29 00:00:00.000;2017/01/02 00:00:00.000;Standard Class;AJ-10795;Anthony Johnson       ;Corporate  ;United States;San Francisco    ;California          ;94110;West   ;OFF-PA-10000528;Office Supplies;Paper      ;Xerox 1981                                                                                                                     ;21,12;4;0,0;9.504;Anna Andreadi    ;West   
